a ball,1.040000,1.830000
laura laughs,3.110000,3.940000
i don't think it's funny,6.760000,8.460000
i wonder,9.440000,9.740000
i used to laugh,9.960000,10.940000
when i was two,12.410000,13.480000
two,13.050000,13.480000
laura,14.220000,14.560000
why did i stop,18.190000,19.600000
stop,19.130000,19.600000
bouncing,11.720000,12.370000
bounce,5.150000,6.020000
see,4.360000,4.560000
sees,4.360000,4.610000
i,7.000000,7.290000
i don't,7.000000,7.490000
think it's,7.550000,7.910000
it's funny,7.830000,8.430000
funny,8.060000,8.430000
don't,7.380000,7.530000
think,7.540000,7.750000
used,10.210000,10.440000
when,12.380000,12.530000
was,12.850000,13.050000
like,14.030000,14.220000
why,18.430000,18.710000
did,18.840000,18.910000
*confused*,20.000000,21.760000
s,19.190000,19.270000
s,3.920000,3.950000
*pause*,21.590000,21.920000
if,4.100000,4.170000
if,9.840000,9.880000
ball,1.220000,1.460000
